2024-02-25 22:27:49.005 [info] Log level: Info
2024-02-25 22:27:49.005 [info] Validating found git in: "git"
2024-02-25 22:27:49.005 [info] Using git "2.34.1" from "git"
2024-02-25 22:27:49.005 [info] > git rev-parse --show-toplevel [21ms]
2024-02-25 22:27:49.040 [info] > git rev-parse --show-toplevel [2ms]
2024-02-25 22:27:49.065 [info] > git rev-parse --show-toplevel [4ms]
2024-02-25 22:27:49.236 [info] > git rev-parse --show-toplevel [155ms]
2024-02-25 22:27:49.260 [info] > git rev-parse --show-toplevel [4ms]
2024-02-25 22:27:49.273 [info] > git rev-parse --show-toplevel [2ms]
2024-02-25 22:28:13.035 [info] > git rev-parse --show-toplevel [7ms]
2024-02-25 22:28:19.252 [info] > git rev-parse --show-toplevel [4ms]
2024-02-25 22:28:48.147 [info] > git rev-parse --show-toplevel [24ms]
2024-02-25 22:28:58.039 [info] > git rev-parse --show-toplevel [2ms]
2024-02-25 22:38:28.621 [info] > git rev-parse --show-toplevel [15ms]
